SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000177471381166:637000177471381166::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000178708385671:637000178708385671::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000178733218317:637000178733218317::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000178747275576:637000178747275576::
SwitchOn:Concessions:Concessions Front:Complete:RpiZero5:637000179758752155:637000179758752155::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000179884712346:637000179884712346::
SwitchOn:FrontGate:Gate Shack:Complete:RpiZero4:637000180137485532:637000180137485532::
SwitchOff:FrontGate:Gate Shack:Complete:RpiZero4:637000180192044464:637000180192044464::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000183207274101:637000183207274101::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000183208417482:637000183208417482::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000183211443595:637000183211443595::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000183217064584:637000183217064584::
SwitchOff:Tower:Tower SW:Complete:RpiZero7:637000184186557995:637000184186557995::
SwitchOff:Concessions:Concessions Front:Complete:RpiZero5:637000184188786175:637000184188786175::
SwitchOff:Concessions:Concessions Entrance:Complete:RpiZero11:637000184189664160:637000184189664160::
SwitchOff:Tower:Tower NW:Complete:RpiZero10:637000184190587935:637000184190587935::
Motion:Tower:Tower NW:Complete:RpiZero10:637000221419792606:637000221509985898:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183541.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000221436793845:637000221526309207:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729183543.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000221437326902:637000221527392981:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729183543.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000221519817143:637000221579842790:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183551.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000221850018741:637000221910071975:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183624.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000221930104228:637000221980225550:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183633.mp4
Motion:Concessions:Concessions Front:Complete:RpiZero5:637000222186180120:637000222276633724:rpiZero5:/Surveillance\Concessions-Concessions Front-rpiZero5-20190729183658.mp4
Motion:Tower:Tower NW:Complete:RpiZero10:637000222220327369:637000222280639179:rpiZero10:/Surveillance\Tower-Tower NW-rpiZero10-20190729183702.mp4
Motion:Tower:Tower SW:Complete:RpiZero7:637000222197894819:637000222288011336:rpiZero7:/Surveillance\Tower-Tower SW-rpiZero7-20190729183659.mp4
Motion:Concessions:Concessions Entrance:Complete:RpiZero11:637000222311208380:637000222371229958:rpiZero11:/Surveillance\Concessions-Concessions Entrance-rpiZero11-20190729183711.mp4
